pwm,m1,m2,m3,m4,mean
-32,-46.203462,-45.835307,-46.939772,-45.467152,-46.111424
-33,-48.228315,-47.86016,-48.780548,-47.307928,-48.044238
-34,-50.437246,-49.700936,-50.989478,-49.148703,-50.069091
-35,-52.278021,-51.725788,-53.198409,-50.805401,-52.001905
-36,-54.118796,-54.486952,-55.223262,-53.198409,-54.256855
-37,-56.327727,-56.511804,-57.248115,-55.407339,-56.373746
-38,-58.720735,-58.168502,-59.8252,-57.61627,-58.582677
-39,-60.745588,-60.377433,-61.481898,-59.457045,-60.515491
-40,-62.402286,-62.034131,-64.058984,-61.665976,-62.540344
-41,-64.979371,-64.611216,-65.899759,-63.874906,-64.841313
-42,-66.820147,-66.451992,-67.556457,-65.531604,-66.59005
-43,-68.660922,-68.108689,-70.31762,-67.372379,-68.614903
-44,-71.05393,-70.31762,-71.79024,-69.765387,-70.731794
-45,-72.52655,-72.158395,-73.631016,-71.422085,-72.434512
-46,-74.735481,-74.735481,-75.839946,-73.815093,-74.7815
-47,-76.760334,-76.024024,-78.232954,-75.287713,-76.576256
-48,-79.153342,-78.417032,-79.705574,-77.496644,-78.693148
-49,-81.178195,-80.81004,-81.914505,-79.337419,-80.81004
-50,-82.650815,-82.098582,-84.123435,-81.54635,-82.604796
-51,-84.123435,-83.75528,-86.148288,-83.387125,-84.353532
-52,-86.884598,-86.516443,-87.804986,-85.596056,-86.700521
-53,-88.357219,-88.173141,-89.829839,-87.068676,-88.357219
-54,-90.197994,-89.829839,-91.486537,-88.725374,-90.059936
-55,-92.591002,-91.302459,-93.327312,-90.934304,-92.03877
-56,-93.51139,-93.327312,-95.352165,-92.591002,-93.695467
-57,-95.72032,-95.352165,-97.377018,-94.2477,-95.674301
-58,-97.561096,-97.008863,-99.401871,-96.088475,-97.515076
-59,-99.217794,-98.481483,-100.506336,-97.377018,-98.895658
-60,-101.242646,-100.322259,-102.715267,-99.954104,-101.058569
-61,-103.083422,-101.978957,-104.371965,-101.794879,-102.807306
-62,-105.108275,-103.819732,-106.580895,-103.451577,-104.74012
-63,-106.764973,-105.660507,-108.421671,-103.819732,-106.166721
-64,-108.605748,-108.237593,-109.710213,-106.764973,-108.329632
-65,-110.078368,-109.526136,-111.366911,-108.237593,-109.802252
-66,-112.103221,-111.366911,-113.759919,-109.710213,-111.735066
-67,-113.759919,-112.655454,-114.864384,-112.287299,-113.391764
-68,-115.232539,-114.312152,-116.70516,-113.207687,-114.864384
-69,-116.337005,-116.152927,-118.361858,-115.600695,-116.613121
-70,-117.625547,-117.625547,-120.018555,-117.257392,-118.131761
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.920388,0.920388,0.920388,0.0,0.690291
10,3.129318,2.761163,3.313396,2.945241,3.037279
11,4.970094,4.786016,4.970094,4.601938,4.832035
12,6.626791,6.994946,6.810869,6.442714,6.71883
13,8.651644,8.467567,8.651644,8.467567,8.559606
14,10.308342,10.49242,10.676497,10.124265,10.400381
15,12.70135,12.333195,12.70135,12.149118,12.471253
16,14.173971,13.805815,14.173971,13.621738,13.943874
17,16.014746,16.014746,16.382901,15.462513,15.968727
18,17.855521,17.671444,18.223676,17.671444,17.855521
19,19.696297,20.064452,20.064452,19.696297,19.880374
20,21.905227,21.72115,22.273382,21.352995,21.813188
21,23.746003,23.377847,23.93008,23.19377,23.561925
22,25.586778,25.954933,25.954933,25.586778,25.770855
23,27.611631,27.795708,27.795708,27.427553,27.65765
24,29.452406,29.636484,30.188716,29.452406,29.682503
25,31.661337,31.845414,32.029492,31.477259,31.753375
26,33.502112,33.870267,34.238422,33.318035,33.732209
27,35.89512,35.89512,36.263275,35.342887,35.849101
28,38.104051,37.551818,38.288128,37.183663,37.781915
29,39.944826,39.944826,40.128904,39.392593,39.852787
30,41.969679,42.337834,42.337834,41.417446,42.015698
31,44.178609,43.810454,44.730842,43.258222,43.994532
32,46.019385,46.38754,46.571617,45.65123,46.157443
33,48.59647,47.676083,48.964625,47.307928,48.136276
34,50.437246,50.437246,51.173556,49.700936,50.437246
35,52.462099,52.646176,53.198409,51.725788,52.508118
36,54.486952,54.486952,55.407339,53.750641,54.532971
37,56.695882,56.143649,57.432192,56.143649,56.603843
38,59.08889,58.536657,59.08889,57.800347,58.628696
39,60.745588,60.929665,61.113743,60.193355,60.745588
40,63.138596,62.586363,63.874906,61.850053,62.86248
41,65.163449,64.795294,65.899759,64.058984,64.979371
42,67.004224,67.004224,67.372379,66.267914,66.912185
43,69.397232,69.029077,69.765387,68.108689,69.075097
44,71.422085,71.05393,71.606163,69.765387,70.961891
45,73.262861,72.342473,73.631016,72.158395,72.848686
46,74.919558,74.735481,75.839946,73.999171,74.873539
47,77.312566,76.576256,78.048877,76.392179,77.082469
48,79.337419,78.417032,80.073729,77.680721,78.877225
49,80.994117,80.257807,81.730427,79.153342,80.533923
50,83.203048,82.098582,83.75528,82.098582,82.788873
51,85.411978,84.675668,85.596056,83.75528,84.859746
52,86.884598,86.700521,87.804986,85.596056,86.74654
53,88.725374,87.804986,89.645762,87.620909,88.449258
54,90.934304,90.566149,91.118382,89.829839,90.612169
55,92.77508,92.222847,93.327312,91.302459,92.406925
56,94.799933,93.51139,95.168088,92.959157,94.109642
57,96.824786,95.904398,96.824786,95.352165,96.226534
58,98.297406,97.929251,98.481483,96.640708,97.837212
59,99.770026,99.401871,100.690414,98.297406,99.539929
60,102.347112,101.058569,102.163034,100.690414,101.564782
61,103.819732,103.267499,104.00381,102.347112,103.359538
62,105.47643,105.292352,105.844585,104.00381,105.154294
63,106.764973,106.94905,107.869438,105.47643,106.764973
64,108.789826,108.789826,108.973903,107.133128,108.421671
65,110.446523,109.894291,111.366911,109.526136,110.308465
66,112.287299,111.919144,113.391764,110.998756,112.149241
67,114.128074,114.128074,114.680307,112.471376,113.851958
68,115.416617,115.416617,116.337005,114.312152,115.370598
69,117.625547,116.70516,118.361858,116.521082,117.303412
70,119.466323,118.730013,119.6504,117.993703,118.96011
-1,0.0,0.0,0.0,0.0,0.0
-2,0.0,0.0,0.0,0.0,0.0
-3,0.0,0.0,0.0,0.0,0.0
-4,0.0,0.0,0.0,0.0,0.0
-5,0.0,0.0,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.0,0.0
-7,0.0,0.0,0.0,0.0,0.0
-8,0.0,0.0,0.0,0.0,0.0
-9,-1.288543,-0.73631,-1.47262,-0.920388,-1.104465
-10,-2.945241,-2.945241,-3.313396,-2.945241,-3.037279
-11,-4.601938,-4.970094,-5.154171,-4.601938,-4.832035
-12,-6.810869,-6.626791,-6.810869,-6.626791,-6.71883
-13,-8.651644,-8.467567,-8.835722,-7.915334,-8.467567
-14,-10.49242,-10.49242,-10.860575,-10.124265,-10.49242
-15,-12.333195,-12.333195,-12.70135,-12.149118,-12.379215
-16,-13.805815,-13.989893,-14.173971,-13.989893,-13.989893
-17,-16.014746,-15.830668,-16.198823,-15.646591,-15.922707
-18,-17.671444,-17.487366,-18.039599,-17.487366,-17.671444
-19,-19.696297,-19.512219,-20.064452,-19.512219,-19.696297
-20,-21.72115,-21.72115,-22.089305,-21.168917,-21.67513
-21,-23.561925,-23.561925,-24.114158,-23.377847,-23.653964
-22,-25.586778,-25.4027,-26.139011,-25.034545,-25.540759
-23,-27.611631,-27.243476,-27.795708,-27.059398,-27.427553
-24,-29.452406,-29.636484,-30.188716,-29.268329,-29.636484
-25,-31.845414,-31.293182,-32.213569,-31.293182,-31.661337
-26,-33.68619,-33.502112,-34.4225,-33.318035,-33.732209
-27,-35.526965,-35.711043,-36.079198,-34.790655,-35.526965
-28,-37.551818,-37.551818,-38.656283,-37.183663,-37.735896
-29,-39.760748,-39.392593,-40.497059,-38.840361,-39.62269
-30,-41.969679,-41.417446,-42.337834,-41.233369,-41.739582
-31,-43.626377,-43.994532,-45.098997,-43.258222,-43.994532
-32,-46.203462,-45.467152,-46.939772,-45.467152,-46.019385
-33,-48.044238,-47.86016,-48.780548,-47.307928,-47.998218
-34,-50.069091,-50.069091,-51.357633,-49.148703,-50.161129
-35,-52.462099,-51.725788,-52.830254,-50.989478,-52.001905
-36,-54.118796,-54.486952,-55.407339,-53.382486,-54.348893
-37,-56.143649,-55.959572,-57.432192,-55.223262,-56.189669
-38,-58.720735,-58.35258,-59.8252,-57.61627,-58.628696
-39,-60.193355,-60.009278,-61.850053,-59.08889,-60.285394
-40,-62.954518,-62.586363,-63.506751,-61.297821,-62.586363
-41,-64.979371,-64.611216,-65.899759,-63.322673,-64.703255
-42,-67.004224,-66.636069,-68.292767,-65.715681,-66.912185
-43,-68.476845,-67.740534,-70.31762,-67.372379,-68.476845
-44,-70.501697,-69.949465,-72.158395,-69.765387,-70.593736
-45,-72.894705,-72.52655,-74.367326,-71.422085,-72.802667
-46,-74.735481,-74.551403,-75.655869,-73.078783,-74.505384
-47,-76.392179,-76.392179,-78.048877,-75.287713,-76.530237
-48,-78.601109,-78.232954,-80.441885,-77.496644,-78.693148
-49,-80.625962,-80.625962,-81.914505,-79.705574,-80.718001
-50,-83.01897,-82.28266,-83.75528,-81.54635,-82.650815
-51,-84.307513,-83.75528,-86.148288,-83.571203,-84.445571
-52,-86.148288,-85.596056,-87.620909,-85.227901,-86.148288
-53,-87.804986,-87.620909,-89.645762,-87.068676,-88.035083
-54,-90.750227,-89.645762,-91.302459,-88.909451,-90.151975
-55,-91.854692,-92.03877,-93.51139,-90.934304,-92.084789
-56,-94.063622,-93.695467,-95.536243,-92.959157,-94.063622
-57,-95.536243,-94.98401,-97.561096,-94.2477,-95.582262
-58,-97.745173,-97.192941,-99.033716,-95.904398,-97.469057
-59,-98.665561,-98.297406,-100.690414,-98.113328,-98.941677
-60,-101.058569,-100.322259,-103.083422,-99.585949,-101.01255
-61,-103.267499,-102.531189,-104.556042,-101.610802,-102.991383
-62,-104.371965,-104.00381,-106.396818,-103.819732,-104.648081
-63,-106.580895,-105.108275,-107.501283,-105.108275,-106.074682
-64,-107.869438,-108.237593,-109.710213,-105.844585,-107.915457
-65,-109.894291,-109.894291,-111.919144,-108.421671,-110.032349
-66,-111.735066,-111.550989,-112.839531,-109.710213,-111.45895
-67,-112.839531,-112.471376,-114.680307,-111.919144,-112.97759
-68,-115.232539,-113.943997,-117.073315,-113.391764,-114.910404
-69,-117.073315,-116.521082,-118.361858,-115.600695,-116.889237
-70,-118.361858,-117.44147,-120.386711,-116.889237,-118.269819
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.288543,1.288543,1.288543,0.0,0.966407
10,3.129318,2.945241,3.129318,2.761163,2.99126
11,4.786016,4.786016,4.970094,4.601938,4.786016
12,6.626791,6.810869,6.810869,6.258636,6.626791
13,8.651644,8.651644,8.651644,8.467567,8.605625
14,10.308342,10.49242,10.676497,10.124265,10.400381
15,12.333195,12.517273,12.517273,12.149118,12.379215
16,13.989893,14.173971,14.358048,13.621738,14.035912
17,16.014746,15.830668,16.198823,15.830668,15.968727
18,17.855521,17.671444,17.855521,17.487366,17.717463
19,19.696297,19.696297,20.064452,19.144064,19.650277
